Date,Week,Day,Total Orders,Total Revenue,Commission Revenue,Delivery Fees,Subscription Revenue,Total Revenue,Rider Cost,Manager Cost,Marketing Cost,Packaging Cost,Partner Payments,Cash Collected (COD),bKash Collected,bKash Settled,Cash on Hand,bKash Balance,Outstanding Partner Payments,Outstanding Customer Credits,Net Cash Flow,Cumulative Cash Position,Burn Rate,Running Profit,Notes
2026-08-01,W1,Day 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250000,0,0,0,0,250000,0,0,Seed funding received
2026-08-02,W1,Day 2,0,0,0,0,0,0,0,0,500,0,0,0,0,0,249500,0,0,0,-500,249500,500,0,Equipment purchase
2026-08-03,W1,Day 3,0,0,0,0,0,0,0,0,200,0,0,0,0,0,249300,0,0,0,-200,249300,700,0,Marketing materials
2026-08-04,W1,Day 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249300,0,0,0,0,249300,700,0,System setup
2026-08-05,W1,Day 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249300,0,0,0,0,249300,700,0,
2026-08-06,W1,Day 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249300,0,0,0,0,249300,700,0,
2026-08-07,W1,Day 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249300,0,0,0,0,249300,700,0,
2026-08-08,W2,Day 8,3,2400,264,0,0,2400,400,0,300,100,1600,800,0,0,248500,0,0,0,-800,248500,1500,-800,Beta test day 1 - free delivery
2026-08-09,W2,Day 9,5,4000,440,0,0,4000,400,0,300,100,2500,1500,0,0,247900,0,0,0,-600,247500,2100,-1400,Beta test day 2
2026-08-10,W2,Day 10,7,5600,616,0,0,5600,400,0,300,100,3200,2400,0,0,247500,0,0,0,-400,247100,2500,-1800,Beta test day 3
2026-08-11,W2,Day 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247500,0,0,0,0,247100,2500,-1800,
2026-08-12,W2,Day 12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247500,0,0,0,0,247100,2500,-1800,
2026-08-13,W2,Day 13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247500,0,0,0,0,247100,2500,-1800,
2026-08-14,W2,Day 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247500,0,0,0,0,247100,2500,-1800,Weekly review completed
2026-08-15,W3,Day 15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247500,0,0,0,0,247100,2500,-1800,
2026-08-16,W3,Day 16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247500,0,0,0,0,247100,2500,-1800,
2026-08-17,W3,Day 17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247500,0,0,0,0,247100,2500,-1800,
2026-08-18,W3,Day 18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247500,0,0,0,0,247100,2500,-1800,
2026-08-19,W3,Day 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247500,0,0,0,0,247100,2500,-1800,
2026-08-20,W3,Day 20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247500,0,0,0,0,247100,2500,-1800,
