"Supplier ID","Shop Name","Contact Person","Phone","Category","Building/Location in Krishi Market","Rating (1-5)","Orders/Day Capacity","Payment Terms","Partnership Status","Notes"
"SUP-001","Shahjalal Rice Agency","Md. Abdur Rahim","+8801712-345678","Rice & Grains","Building-2, Stall-12 (Paka Bazar)","4.5","500 kg rice, 200 kg dal","Weekly net 7 days","Active","Main rice supplier. 15yr in Krishi. Miniket/Chinigura specialty. Reliable quality."
"SUP-002","Kawran Bazar Vegetable House","Md. Shafiqul Islam","+8801815-678901","Fresh Vegetables","New Market Building, Ground Floor-08","4.0","400 kg mix vegetables","Daily COD","Active","Direct from farmer network. Best for seasonal produce. 6AM delivery available."
"SUP-003","Mollah Chicken & Meat Store","Abdul Malek Mollah","+8801711-234567","Poultry & Meat","North Side Shed-03 (Kacha Bazar)","4.5","300 kg broiler, 50 kg local","Daily COD","Active","Halal certified. Best broiler price in market. Family shop for 25 years. Also does beef/mutton on order."
"SUP-004","Dhaka Fish Emporium","Md. Kamal Hossain","+8801910-456789","Fish & Seafood","Floating Market Section-05","4.0","100 kg Rui, 50 kg Tilapia, 20 kg others","Weekly net 3 days","Active","Fresh pond fish daily. Rui from Mymensingh, shrimp from Bagerhat. Peak supply Wed/Sat."
"SUP-005","Shomoy Oil & Dal Bhander","Md. Nuruzzaman","+8801709-876543","Cooking Oil, Dal & Ghee","Building-1, Stall-07 (Tanki Bazar)","3.5","200 litres oil, 150 kg dal","Biweekly net 7 days","Probationary","Good for bulk soybean/palm oil and dal. Payment on time required. Large capacity."
"SUP-006","Bangla Spice Traders","Md. Selim Reza","+8801310-345678","Spices & Dried Goods","Building-1, Room-15","4.0","50 kg whole spices, 30 kg powder","Weekly net 7 days","Active","Premium spice quality. Own grinding. Chili, turmeric, cumin, coriander powder specialties."
"SUP-007","Fresh Dairy & Egg Supply","S. M. Jahangir Alam","+8801815-789012","Dairy & Eggs","Small Shop Row-22 (Kacha Bazar)","3.5","200 dozen eggs, 50 litres milk","Daily COD","Active","Aftab milk, fresh eggs from Savar farm. Daily supply by 7AM."
"SUP-008","Rahimullah Fruit Agency","Md. Farid Uddin","+8801915-123456","Fresh Fruits","Floating Market East Wing-10","4.0","300 kg seasonal fruits","Weekly net 7 days","Active","Imported apple/orange + local mango/banana. Direct Chittagong port contact. Seasonal variation in capacity."
"SUP-009","Japan Garden City Bottlers","Md. Shahidul Islam","+8801708-987654","Beverages, Water & Soft Drinks","Market Entry Plaza-02","3.5","200 crates water, 100 crates soft drinks","Biweekly COD","Active","Pran, Coca-Cola, Kinley, Shezan. Cold storage available. Weekly delivery schedule."
"SUP-010","Krishi Market Snacks & Confectionery","Abdur Rahman","+8801715-654321","Biscuits, Snacks & Confectionery","Building-2, Stall-04","3.5","100 kg biscuits, 50 kg confectionery","Weekly net 7 days","Probationary","Biscuit club, Danish, Pran snacks. Small shop, good variety. Recently partnered."
