Line Item,Month 1,Month 2,Month 3,Notes
═══════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════
REVENUE
Commission Revenue,26400,79200,145200,11% of AOV × orders
Delivery Fee Revenue,9000,27000,49500,BDT 30 × orders
Subscription Revenue,6000,17000,33000,Blended recurring revenue
─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
TOTAL REVENUE,41400,123200,222700,Sum of all revenue streams
═══════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════
VARIABLE COSTS
Rider (per-order),9300,27900,51150,BDT 31 × orders
Manager (allocated),4800,14400,26400,BDT 16 × orders
Marketing / Referrals,3900,11700,21450,BDT 13 × orders
Packaging + misc,2100,6300,11550,BDT 7 × orders
─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
TOTAL VARIABLE COSTS,20100,60300,110550,Sum of variable costs
═══════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════
CONTRIBUTION,21300,62900,112150,Revenue - Variable Costs
CONTRIBUTION MARGIN %,51.4%,51.1%,50.4%,Contribution / Revenue
═══════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════
FIXED COSTS
Rider Salary (base),12000,22000,28000,Base salary
Manager Salary,12000,12000,15000,Part-time
Marketing & Advertising,15000,20000,25000,Flyers, social, referral bonuses
bKash Merchant Fees,2400,7200,13200,~1% of transactions
Equipment & Supplies,2000,5000,8000,Bags, printer, phone
Insurance,0,3000,5000,Rider insurance, liability
Utilities,0,2000,3000,Internet, phone
─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
TOTAL FIXED COSTS,43400,71200,102200,Sum of fixed costs
═══════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════
NET PROFIT,(22100),(8300),9950,Contribution - Fixed Costs
PROFIT MARGIN %,-53.4%,-6.7%,4.5%,Net Profit / Revenue
═══════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════
KEY METRICS
Active Customers,100,200,350,
Total Orders,300,900,1650,
Average Order Value (BDT),800,800,800,
Orders per Day (avg),10,30,55,
Customer Acquisition Cost (BDT),150,100,71,Marketing / New Customers
Lifetime Value (BDT),2400,3600,4800,AOV × orders per customer × margin
Contribution Margin %,51.4%,51.1%,50.4%,
Burn Rate (BDT/day),2210,2483,3407,Net cash outflow per day
Cash Runway (weeks),113,202,147,At current burn rate
═══════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════
