Phase,Timeline,Category,Task,Priority,Status,Completion Date,Owner,Deliverable
W1,Day 1,Market Research,"Walk Krishi Market, map all shops",High,Not Started,,Founder,Market intel sheet
W1,Day 1,Market Research,Identify 5 potential partner shops,High,Not Started,,Founder,Partner shortlist
W1,Day 2,Partners,Visit top 3 partner candidates,High,Not Started,,Founder,Partner meetings
W1,Day 2,Community,Identify building committee members Bldg 1-6,High,Not Started,,Founder,Committee contacts
W1,Day 3,Partners,Negotiate commission rates with 3 partners,High,Not Started,,Founder+Brother,Handshake agreements
W1,Day 3,Legal,Draft partner agreement (use template),Medium,Not Started,,Founder,Agreement draft
W1,Day 4,Tech,"Build Google Sheet: Orders, Partners, Products",High,Not Started,,Founder,Working spreadsheet
W1,Day 4,Tech,Set up WhatsApp Business account,High,Not Started,,Founder,WhatsApp ready
W1,Day 4,Tech,Create quick reply templates in WhatsApp,Medium,Not Started,,Founder,Auto-replies active
W1,Day 5,Product,Create 50-SKU price list with partner prices,High,Not Started,,Founder+Partners,Price catalog
W1,Day 5,Marketing,Design and print 100 A5 flyers,Medium,Not Started,,Founder,Printed flyers
W1,Day 6,Marketing,Create JG Mart social media pages,Low,Not Started,,Founder,FB/IG pages live
W1,Day 6,Ops,"Purchase delivery bags (5-8), labels, receipt book",Medium,Not Started,,Founder,Equipment ready
W1,Day 7,Beta,Recruit 10 beta customers from Bldg 1-3,High,Not Started,,Founder,10 beta users
W1,Day 7,Finance,Set up bKash merchant account,High,Not Started,,Founder,bKash ready
W2,Day 8,Beta,Beta Test Day 1: Process 3-5 orders,High,Not Started,,Founder+Brother,Orders processed
W2,Day 8,Beta,Collect real-time feedback from customers,High,Not Started,,Founder,Feedback notes
W2,Day 9,Beta,Beta Test Day 2: Process 5-7 orders,High,Not Started,,Founder+Brother,Orders processed
W2,Day 9,Ops,Time each step: order→confirm→pickup→deliver,Medium,Not Started,,Founder,Time data
W2,Day 10,Beta,Beta Test Day 3: Process 7-10 orders,High,Not Started,,Founder+Brother,Orders processed
W2,Day 10,Partners,"Review partner performance, adjust pricing",Medium,Not Started,,Founder,Partner review
W2,Day 11,Product,Refine product catalog based on beta demand,Medium,Not Started,,Founder,Updated catalog
W2,Day 11,Finance,Calculate actual cost per order from beta data,High,Not Started,,Founder,Real unit economics
W2,Day 12,Marketing,Create WhatsApp status catalog images,Medium,Not Started,,Founder,Catalog images
W2,Day 12,Community,Approach 2 building committee members,High,Not Started,,Founder,Committee meetings
W2,Day 13,Ops,Document SOP based on beta learnings,Medium,Not Started,,Founder,SOP v1.0
W2,Day 13,Tech,Build financial tracker Google Sheet,Medium,Not Started,,Founder,Financial tracker
W2,Day 14,Review,Week 2 Review: Analyze all beta data,High,Not Started,,Founder,Beta report
W2,Day 14,Planning,Plan soft launch for Cluster 1 (Bldg 1-6),High,Not Started,,Founder,Launch plan
W3,Day 15,Launch,Soft Launch Day 1: Open to Cluster 1,High,Not Started,,Founder+Brother,Live orders
W3,Day 15,Marketing,Distribute flyers in Bldg 1-6,High,Not Started,,Founder,Flyers distributed
W3,Day 16,Launch,Target: 5 orders/day,High,Not Started,,Founder+Brother,Order count
W3,Day 16,Community,Post in building WhatsApp groups,High,Not Started,,Founder,Group posts
W3,Day 17,Launch,Target: 8 orders/day,High,Not Started,,Founder+Brother,Order count
W3,Day 17,Customer,Follow up with every customer for feedback,High,Not Started,,Founder,Feedback collected
W3,Day 18,Launch,Target: 10 orders/day,High,Not Started,,Founder+Brother,Order count
W3,Day 18,Marketing,Launch referral program with beta customers,Medium,Not Started,,Founder,Referrals active
W3,Day 19,Launch,Target: 12 orders/day,High,Not Started,,Founder+Brother,Order count
W3,Day 19,Partners,Sign formal agreements with 3 partners,High,Not Started,,Founder,Signed agreements
W3,Day 20,Launch,Target: 15 orders/day,High,Not Started,,Founder+Brother,Order count
W3,Day 20,Finance,First weekly partner payment,High,Not Started,,Founder,Payments sent
W3,Day 21,Review,Week 3 Review: 100 customer target check,High,Not Started,,Founder,Week 3 report
W3,Day 21,Planning,Plan Cluster 2 expansion (Bldg 7-13),Medium,Not Started,,Founder,Expansion plan
W4,Day 22,Ops,Introduce 30 BDT delivery fee,High,Not Started,,Founder,Pricing updated
W4,Day 22,Customer,Notify all customers of pricing change,High,Not Started,,Founder,Notifications sent
W4,Day 23,Product,Launch JG Mart Premium subscription (149 BDT/mo),High,Not Started,,Founder,Subscription live
W4,Day 23,Marketing,Create subscription promo content,Medium,Not Started,,Founder,Promo content
W4,Day 24,Launch,Expand to Cluster 2 (Bldg 7-13),High,Not Started,,Founder+Brother,Cluster 2 live
W4,Day 24,Marketing,Distribute flyers in Bldg 7-13,High,Not Started,,Founder,Flyers distributed
W4,Day 25,Partners,Onboard 2 additional partners,Medium,Not Started,,Founder,5 total partners
W4,Day 25,Ops,Hire part-time manager (if volume >20/day),Medium,Not Started,,Founder,Manager hired
W4,Day 26,Customer,Launch loyalty program (order 5x = free delivery),Medium,Not Started,,Founder,Loyalty active
W4,Day 26,Marketing,Post customer testimonials on social media,Low,Not Started,,Founder,Testimonials posted
W4,Day 27,Finance,Month 1 financial review,High,Not Started,,Founder,Month 1 P&L
W4,Day 27,Review,Review all KPIs vs. targets,High,Not Started,,Founder,KPI dashboard
W4,Day 28,Planning,Plan Month 2 strategy,High,Not Started,,Founder,Month 2 plan
W4,Day 28,Investor,Prepare investor update (if funded),Medium,Not Started,,Founder,Investor report
M2,Week 5,Scale,Target: 200 active customers,High,Not Started,,Founder+Team,Customer count
M2,Week 5,Scale,Target: 15 orders/day average,High,Not Started,,Founder+Team,Daily orders
M2,Week 6,Ops,Optimize rider route for efficiency,Medium,Not Started,,Founder+Brother,Route optimized
M2,Week 6,Product,Add 20 new SKUs based on demand,Medium,Not Started,,Founder,70 total SKUs
M2,Week 7,Partners,Onboard 3rd backup partner per category,Medium,Not Started,,Founder,Backup partners
M2,Week 7,Marketing,Launch building-specific promotions,Medium,Not Started,,Founder,Promos launched
M2,Week 8,Finance,Month 2 financial review,High,Not Started,,Founder,Month 2 P&L
M2,Week 8,Review,Review subscription uptake,High,Not Started,,Founder,Sub count
M2,Week 8,Planning,Plan Month 3 (full JGC coverage),High,Not Started,,Founder,Month 3 plan
M3,Week 9,Scale,Expand to Cluster 3 & 4 (all JGC),High,Not Started,,Founder+Team,Full JGC
M3,Week 9,Ops,Hire 2nd rider,High,Not Started,,Founder,2 riders active
M3,Week 10,Scale,Target: 350 active customers,High,Not Started,,Founder+Team,Customer count
M3,Week 10,Scale,Target: 25 orders/day average,High,Not Started,,Founder+Team,Daily orders
M3,Week 11,Product,Launch weekly subscription box,Medium,Not Started,,Founder,Box launched
M3,Week 11,Marketing,Partner with adjacent societies,Medium,Not Started,,Founder,New markets
M3,Week 12,Finance,Month 3 financial review + investor deck,High,Not Started,,Founder,Month 3 P&L
M3,Week 12,Review,90-Day full review vs. PRD targets,High,Not Started,,Founder,90-day report
M3,Week 12,Planning,Plan Series A fundraising (if scaling),Medium,Not Started,,Founder,Fundraising plan
