path,top_level,size_bytes,lines
CONSOLIDATION_REPORT.md,CONSOLIDATION_REPORT.md,4796,118
CHANGELOG.md,CHANGELOG.md,1425,41
CONTRIBUTING.md,CONTRIBUTING.md,1511,45
LICENSE,LICENSE,1064,21
README.md,README.md,4725,124
CONSOLIDATION_REPORT.json,CONSOLIDATION_REPORT.json,15303,341
VALIDATION_REPORT.txt,VALIDATION_REPORT.txt,21255,570
deploy/DEPLOY_INSTRUCTIONS.md,deploy,1530,72
config/deployment/netlify.toml,config,191,12
config/deployment/vercel.json,config,703,21
github/PULL_REQUEST_TEMPLATE.md,github,1157,40
github/workflows/deploy.yml,github,1276,41
github/workflows/ci.yml,github,1137,49
github/ISSUE_TEMPLATE/feature_request.md,github,584,19
github/ISSUE_TEMPLATE/investor_inquiry.md,github,567,31
github/ISSUE_TEMPLATE/bug_report.md,github,654,31
docs/DEPLOYMENT_GUIDE.md,docs,9985,388
docs/MASTER_INDEX.txt,docs,15635,213
docs/VERIFICATION.md,docs,5300,189
docs/TUTORIAL.md,docs,10756,363
docs/MASTER_INDEX.md,docs,16300,354
docs/CHANGELOG.txt,docs,38172,408
docs/SUPABASE_SETUP.md,docs,7552,315
docs/ADMIN_ACCESS.md,docs,4183,178
docs/operations/BUSINESS_CONTINUITY_KIT.txt,docs,7504,114
docs/operations/OPS_CARD.txt,docs,5074,61
docs/operations/OPERATIONS_MANUAL.md,docs,1769,53
docs/operations/DEPLOYMENT_GUIDE.txt,docs,19752,367
docs/operations/SYSTEM_READY.txt,docs,7119,152
docs/operations/QUALITY_REPORT.txt,docs,2051,58
docs/operations/EMERGENCY_PROTOCOLS.md,docs,2093,55
docs/operations/SOP_DAILY_ROUTINE.md,docs,1924,51
docs/operations/PARTNER_AGREEMENT.md,docs,1586,46
docs/operations/SYSTEM_TEST.txt,docs,19927,420
docs/operations/JG_Mart_Current_Status_Board_v2.txt,docs,3842,70
docs/operations/VALIDATION_REPORT.txt,docs,14423,367
docs/operations/COMMAND_CENTER.txt,docs,12231,230
docs/operations/FIRST_DAY_CHEATSHEET.txt,docs,6212,135
docs/operations/ROADMAP_COMPLETE.txt,docs,5747,106
docs/operations/QUICK_START.txt,docs,11588,196
docs/operations/READY_TO_LAUNCH.txt,docs,4590,124
docs/architecture/SYSTEM_ARCHITECTURE.md,docs,5609,100
docs/audit/BRUTAL_HONEST_AUDIT.md,docs,6089,94
docs/api/INTEGRATION.md,docs,1974,73
docs/business/BUSINESS_PLAN.md,docs,3291,94
docs/business/EXECUTIVE_SUMMARY.md,docs,1717,44
docs/business/PITCH_DECK.md,docs,1763,65
docs/business/FINANCIAL_MODEL.md,docs,2056,79
ARCHIVE/09_Data_Export_partial.json,ARCHIVE,25,1
ARCHIVE/LAUNCH_CENTER.bat,ARCHIVE,2284,58
ARCHIVE/RUN_ALL.bat,ARCHIVE,6478,124
ARCHIVE/README.txt,ARCHIVE,4799,112
ARCHIVE/01_Investor_Deck_INVESTOR_1PAGER.txt,ARCHIVE,8019,132
ARCHIVE/01_Investor_Deck_PITCH_COACHING_GUIDE.txt,ARCHIVE,22811,418
ARCHIVE/04_Operations_SAFETY_NET_CONTINGENCY.txt,ARCHIVE,15502,268
ARCHIVE/04_Operations_WHATSAPP_API_MIGRATION_PLAN.txt,ARCHIVE,26654,571
ARCHIVE/04_Operations_RIDER_TRAINING_GUIDE.txt,ARCHIVE,12381,254
ARCHIVE/08_Financials_INVESTOR_FINANCIALS_SUMMARY.txt,ARCHIVE,14160,201
ARCHIVE/10_Launch_Readiness_COMPETITOR_INTELLIGENCE.txt,ARCHIVE,13139,251
ARCHIVE/10_Launch_Readiness_LAUNCH_READINESS_CHECKLIST.txt,ARCHIVE,23455,387
ARCHIVE/04_Operations_MONSOON_PLAYBOOK.txt,ARCHIVE,13799,275
ARCHIVE/DAILY_START.bat,ARCHIVE,4357,95
ARCHIVE/DAILY_END.bat,ARCHIVE,4884,104
ARCHIVE/09_Data_Export_jgmart_orders_2026-08-01.json,ARCHIVE,3655,205
ARCHIVE/01_Investor_Deck_PITCH_DECK_OUTLINE.txt,ARCHIVE,35352,323
ARCHIVE/01_Investor_Deck_PITCH_SCRIPT_3MIN.txt,ARCHIVE,14387,140
ARCHIVE/04_Operations_ENHANCED_SOP_MANUAL.txt,ARCHIVE,26662,571
ARCHIVE/10_Launch_Readiness_JGC_COMMUNITY_REFERENCE.txt,ARCHIVE,27301,354
ARCHIVE/04_Operations_OPERATIONS_PLAYBOOK.txt,ARCHIVE,17745,150
ARCHIVE/01_Investor_Deck_INVESTOR_FAQ.txt,ARCHIVE,15677,243
ARCHIVE/11_Day1_Launch_Kit_DAY1_LAUNCH_KIT.txt,ARCHIVE,18213,253
ARCHIVE/09_Data_Export_jgmart_data_2026-08-01.json,ARCHIVE,2877,152
ARCHIVE/01_Investor_Deck_EXECUTIVE_SUMMARY.txt,ARCHIVE,13709,201
ARCHIVE/09_Data_Export_jgmart_finance_2026-08-01.json,ARCHIVE,128,7
ARCHIVE/10_Launch_Readiness_DAILY_HUDDLE_TEMPLATE.txt,ARCHIVE,14058,178
ARCHIVE/04_Operations_MORNING_ROUTINE_CHECKLIST.txt,ARCHIVE,11676,177
ARCHIVE/00_JGC_Mart_MASTER_INDEX_v2.0.txt,ARCHIVE,6034,107
ARCHIVE/01_Investor_Deck_PRD_EXTRACTED.txt,ARCHIVE,18724,285
ARCHIVE/10_Launch_Readiness_CUSTOMER_ONBOARDING_FLOW.txt,ARCHIVE,30045,437
ARCHIVE/10_Launch_Readiness_PARTNER_OUTREACH_PLAYBOOK.txt,ARCHIVE,21760,351
ARCHIVE/10_Launch_Readiness_WEEK1_REPORT_TEMPLATE.txt,ARCHIVE,11031,140
ARCHIVE/11_Day1_Launch_Kit_DAY1_EMERGENCY_KIT.txt,ARCHIVE,14946,200
ARCHIVE/kimi_context/15_JG_Mart_Risk_Log.txt,ARCHIVE,9311,188
ARCHIVE/kimi_context/00_JG_Mart_MASTER_INDEX.txt,ARCHIVE,12059,220
ARCHIVE/kimi_context/11_JG_Mart_Financial_Tracker.csv,ARCHIVE,944,11
ARCHIVE/kimi_context/08_JG_Mart_Partner_Guide.txt,ARCHIVE,9136,193
ARCHIVE/kimi_context/10_JG_Mart_90Day_Task_Board.csv,ARCHIVE,7313,76
ARCHIVE/kimi_context/16_JG_Mart_Inventory_Tracker.csv,ARCHIVE,964,11
ARCHIVE/kimi_context/13_JG_Mart_Daily_Checklist.txt,ARCHIVE,7591,114
ARCHIVE/kimi_context/18_JG_Mart_Weekly_Review.txt,ARCHIVE,10590,137
ARCHIVE/kimi_context/07_JG_Mart_SOP_Manual.txt,ARCHIVE,16975,335
ARCHIVE/kimi_context/17_JG_Mart_Customer_Database.csv,ARCHIVE,812,6
ARCHIVE/kimi_context/JG_Mart_Investor_1Pager.txt,ARCHIVE,8185,107
ARCHIVE/kimi_context/09_JG_Mart_CS_Scripts.txt,ARCHIVE,10564,225
ARCHIVE/kimi_context/14_JG_Mart_Marketing_Calendar.txt,ARCHIVE,8455,144
ARCHIVE/kimi_context/12_JG_Mart_KPI_Dashboard.csv,ARCHIVE,2251,25
ARCHIVE/kimi_context/chatwithkimi.txt,ARCHIVE,49826,790
ARCHIVE/grok_playbooks/JG_Mart_Rider_Training_Card.txt,ARCHIVE,5093,70
ARCHIVE/grok_playbooks/JG_Mart_30Day_Pilot_Launch_Playbook.txt,ARCHIVE,6182,86
ARCHIVE/grok_playbooks/JG_Mart_Risk_Log_v1.1.txt,ARCHIVE,4786,49
ARCHIVE/grok_playbooks/JG_Mart_Supplier_Negotiation_Scorecard.txt,ARCHIVE,6823,85
ARCHIVE/grok_playbooks/JG_Mart_Daily_Pickup_Checklist_Rider.txt,ARCHIVE,6374,101
ARCHIVE/grok_playbooks/JG_Mart_Print_Pack_Manifest.txt,ARCHIVE,4218,53
