KPI Category,Metric,Target (M1),Target (M2),Target (M3),Measurement Method,Frequency,Owner
Growth,Active Customers,100,200,350,Unique phone numbers with 1+ order,Weekly,Founder
Growth,Total Orders,300,900,1650,Count of completed orders,Daily,Founder
Growth,Orders per Day (avg),10,30,55,Total orders / days in month,Weekly,Founder
Growth,New Customers (weekly),25,25,35,First-time orderers per week,Weekly,Founder
Growth,Customer Churn Rate,<20%,<15%,<10%,Lost customers / Total customers,Monthly,Founder
Revenue,Gross Revenue,240000,720000,1320000,Sum of all order values,Daily,Founder
Revenue,Commission Revenue,26400,79200,145200,Gross revenue × avg commission %,Daily,Founder
Revenue,Delivery Fee Revenue,0,18000,33000,Paid deliveries × 30 BDT,Daily,Founder
Revenue,Subscription Revenue,0,5000,15000,Active subs × 149 BDT,Monthly,Founder
Revenue,Net Profit,-8000,22000,53250,Total revenue - Total costs,Monthly,Founder
Revenue,Profit Margin %,-3%,3%,4%,Net profit / Gross revenue,Monthly,Founder
Operations,On-Time Delivery Rate,>90%,>93%,>95%,On-time orders / Total orders,Daily,Rider
Operations,Order Accuracy Rate,>95%,>97%,>98%,Correct orders / Total orders,Daily,Manager
Operations,Average Order Value (AOV),800,800,800,Total revenue / Total orders,Daily,Founder
Operations,Average Delivery Time,<45 min,<40 min,<35 min,Pickup to delivery timestamp,Daily,Rider
Operations,Partner Fulfillment Rate,>95%,>97%,>98%,Fulfilled items / Ordered items,Daily,Manager
Customer,Repeat Purchase Rate,>25%,>30%,>35%,Repeat customers / Total customers,Weekly,Founder
Customer,Customer Satisfaction (CSAT),>4.0,>4.2,>4.5,Avg rating (1-5) from feedback,Weekly,Manager
Customer,Referral Conversion Rate,>10%,>15%,>20%,Referred orders / Total orders,Weekly,Founder
Customer,Subscription Conversion Rate,N/A,>5%,>10%,Subscribers / Active customers,Monthly,Founder
Marketing,Customer Acquisition Cost (CAC),<200,<150,<120,Marketing spend / New customers,Monthly,Founder
Marketing,WhatsApp Response Rate,>95%,>97%,>98%,Replied messages / Total messages,Daily,Manager
Marketing,Social Media Followers,50,200,500,Total followers across platforms,Weekly,Founder
Marketing,Flyer Conversion Rate,>5%,>8%,>10%,Orders from flyers / Flyers distributed,Monthly,Founder
