Date,Week,Day,Total Orders,Total Revenue,Commission Revenue,Delivery Fees,Subscription Revenue,Total Costs,Rider Cost,Manager Cost,Marketing Cost,Packaging Cost,Partner Payments,Net Profit,Cash on Hand,bKash Balance,Notes
2026-08-01,W1,Day 1,0,0,0,0,0,0,0,0,0,0,0,0,150000,0,Seed funding received
2026-08-02,W1,Day 2,0,0,0,0,0,500,0,0,500,0,0,-500,149500,0,Equipment purchase
2026-08-03,W1,Day 3,0,0,0,0,0,200,0,0,200,0,0,-200,149300,0,Marketing materials
2026-08-04,W1,Day 4,0,0,0,0,0,0,0,0,0,0,0,0,149300,0,
2026-08-05,W1,Day 5,0,0,0,0,0,0,0,0,0,0,0,0,149300,0,
2026-08-06,W1,Day 6,0,0,0,0,0,0,0,0,0,0,0,0,149300,0,
2026-08-07,W1,Day 7,0,0,0,0,0,0,0,0,0,0,0,0,149300,0,
2026-08-08,W2,Day 8,3,2400,264,0,0,800,400,0,300,100,0,-800,148500,0,Beta test day 1 - free delivery
2026-08-09,W2,Day 9,5,4000,440,0,0,800,400,0,300,100,0,-600,147900,0,Beta test day 2
2026-08-10,W2,Day 10,7,5600,616,0,0,800,400,0,300,100,0,-400,147500,0,Beta test day 3
