SKU,Product Name,Category,Partner ID,Partner Name,Wholesale Price,Commission %,Customer Price,Stock Status,Daily Avg Sales,Reorder Point,Notes
R001,Chinigura Rice,Rice & Dal,P001,Rice House,88,5,95,In Stock,15,10,Premium quality
R002,Moshur Dal,Rice & Dal,P001,Rice House,60,7,65,In Stock,12,8,Popular item
O001,Soybean Oil 1L,Oil & Spices,P002,Oil Corner,132,8,145,In Stock,20,15,Standard brand
V001,Fresh Potato,Vegetables,P003,Veggie King,40,12,45,In Stock,25,20,Daily fresh
V002,Fresh Tomato,Vegetables,P003,Veggie King,45,12,52,In Stock,18,15,Seasonal price
F001,Hilsha Fish,Fish,P004,Fish Point,720,15,850,In Stock,8,5,Morning catch
F002,Rui Fish,Fish,P004,Fish Point,280,15,330,In Stock,10,7,Popular
M001,Chicken (whole),Meat,P005,Meat Shop,220,12,250,In Stock,12,8,Halal certified
E001,Chicken Eggs (12),Dairy & Eggs,P003,Veggie King,150,8,165,In Stock,30,25,Daily need
D001,Fresh Milk 1L,Dairy & Eggs,P006,Dairy Corner,75,10,85,In Stock,22,18,Pasteurized
