"SKU","Product Name","Category","Unit","Wholesale Price (BDT)","Retail Price (BDT)","Our Commission (BDT)","Supplier ID","Seasonal (Y/N)","Typical Stock % (Morning)","Typical Stock % (Evening)"
"RICE-001","Miniket Rice (Polao)","Rice & Grains","kg","77","88","9.68","SUP-001","N","80","20"
"RICE-002","Chinigura Rice","Rice & Grains","kg","120","138","15.18","SUP-001","N","85","15"
"RICE-003","Najirshail Rice","Rice & Grains","kg","60","70","7.70","SUP-001","N","75","25"
"RICE-004","Paijam Rice","Rice & Grains","kg","52","60","6.60","SUP-001","N","70","30"
"RICE-005","Atop Rice (Local Bashmoti)","Rice & Grains","kg","68","78","8.58","SUP-001","N","80","20"
"DAL-001","Mosur Dal (Red Lentil)","Rice & Grains","kg","125","142","15.62","SUP-001","N","85","15"
"DAL-002","Mug Dal (Moong Dal)","Rice & Grains","kg","145","165","18.15","SUP-001","N","80","20"
"DAL-003","Chola Dal (Bengal Gram)","Rice & Grains","kg","95","110","12.10","SUP-001","N","85","15"
"DAL-004","Booter Dal (Split Chickpea)","Rice & Grains","kg","90","105","11.55","SUP-001","N","80","20"
"VEG-001","Potato (Local)","Fresh Vegetables","kg","35","45","4.95","SUP-002","N","75","25"
"VEG-002","Onion (Local)","Fresh Vegetables","kg","70","88","9.68","SUP-002","N","80","20"
"VEG-003","Onion (Imported)","Fresh Vegetables","kg","58","72","7.92","SUP-002","N","85","15"
"VEG-004","Tomato","Fresh Vegetables","kg","60","78","8.58","SUP-002","Y","70","30"
"VEG-005","Eggplant/Begun","Fresh Vegetables","kg","45","58","6.38","SUP-002","N","75","25"
"VEG-006","Cauliflower","Fresh Vegetables","piece","40","55","6.05","SUP-002","Y","65","35"
"VEG-007","Cabbage","Fresh Vegetables","piece","25","35","3.85","SUP-002","Y","70","30"
"VEG-008","Green Chili","Fresh Vegetables","kg","140","175","19.25","SUP-002","N","80","20"
"VEG-009","Coriander Leaves (Dhone Pata)","Fresh Vegetables","bunch","120","155","17.05","SUP-002","N","65","35"
"VEG-010","Okra/Dherosh","Fresh Vegetables","kg","55","70","7.70","SUP-002","Y","70","30"
"VEG-011","Green Papaya","Fresh Vegetables","kg","32","42","4.62","SUP-002","N","75","25"
"VEG-012","Pumpkin (Misti Kumra)","Fresh Vegetables","kg","28","38","4.18","SUP-002","N","80","20"
"VEG-013","Cucumber","Fresh Vegetables","kg","45","58","6.38","SUP-002","Y","70","30"
"VEG-014","Beans (Borbti)","Fresh Vegetables","kg","85","105","11.55","SUP-002","Y","65","35"
"VEG-015","Carrot","Fresh Vegetables","kg","55","70","7.70","SUP-002","Y","70","30"
"VEG-016","Radish/Mula","Fresh Vegetables","kg","32","42","4.62","SUP-002","N","80","20"
"VEG-017","Bottle Gourd/Lau","Fresh Vegetables","piece","40","52","5.72","SUP-002","N","75","25"
"VEG-018","Bitter Gourd/Korola","Fresh Vegetables","kg","60","78","8.58","SUP-002","Y","70","30"
"VEG-019","Ridged Gourd/Jhinge","Fresh Vegetables","kg","50","65","7.15","SUP-002","Y","70","30"
"VEG-020","Spinach/Palak Shak","Fresh Vegetables","bunch","30","42","4.62","SUP-002","Y","60","40"
"VEG-021","Red Amaranth/Lal Shak","Fresh Vegetables","bunch","25","35","3.85","SUP-002","Y","60","40"
"MEAT-001","Broiler Chicken (Whole)","Poultry & Meat","kg","195","235","25.85","SUP-003","N","70","30"
"MEAT-002","Broiler Chicken (Cut)","Poultry & Meat","kg","215","255","28.05","SUP-003","N","65","35"
"MEAT-003","Local Chicken (Whole)","Poultry & Meat","kg","375","450","49.50","SUP-003","N","75","25"
"MEAT-004","Beef (Without Bone)","Poultry & Meat","kg","580","700","77.00","SUP-003","N","60","40"
"MEAT-005","Beef (With Bone)","Poultry & Meat","kg","550","660","72.60","SUP-003","N","60","40"
"MEAT-006","Mutton/Lamb","Poultry & Meat","kg","950","1100","121.00","SUP-003","N","70","30"
"FISH-001","Rui/Karp Fish (Large)","Fish & Seafood","kg","350","420","46.20","SUP-004","N","70","30"
"FISH-002","Tilapia Fish","Fish & Seafood","kg","220","280","30.80","SUP-004","N","75","25"
"FISH-003","Pangash Fish","Fish & Seafood","kg","200","250","27.50","SUP-004","N","75","25"
"FISH-004","Koi Fish","Fish & Seafood","kg","450","520","57.20","SUP-004","N","70","30"
"FISH-005","Shrimp/Golda (Medium)","Fish & Seafood","kg","600","720","79.20","SUP-004","N","65","35"
"FISH-006","Shrimp/Bagda (Small)","Fish & Seafood","kg","350","420","46.20","SUP-004","N","65","35"
"OIL-001","Soybean Oil (Bottle 1L)","Cooking Oil & Dal","litre","198","225","24.75","SUP-005","N","80","20"
"OIL-002","Soybean Oil (Loose)","Cooking Oil & Dal","litre","192","218","23.98","SUP-005","N","75","25"
"OIL-003","Palm Oil (Bottle 1L)","Cooking Oil & Dal","litre","145","168","18.48","SUP-005","N","80","20"
"OIL-004","Mustard Oil (Bottle 1L)","Cooking Oil & Dal","litre","250","285","31.35","SUP-005","N","85","15"
"OIL-005","Ghee (Premium 500g)","Cooking Oil & Dal","piece","420","490","53.90","SUP-005","N","90","10"
"OIL-006","Butter (Fresh 500g)","Cooking Oil & Dal","piece","280","330","36.30","SUP-005","N","85","15"
"SPICE-001","Turmeric Powder (Packed)","Spices & Dried Goods","kg","240","280","30.80","SUP-006","N","85","15"
"SPICE-002","Chili Powder (Packed)","Spices & Dried Goods","kg","420","490","53.90","SUP-006","N","85","15"
"SPICE-003","Cumin Seed (Jira)","Spices & Dried Goods","kg","480","550","60.50","SUP-006","N","90","10"
"SPICE-004","Coriander Powder (Dhone)","Spices & Dried Goods","kg","260","310","34.10","SUP-006","N","85","15"
"SPICE-005","Garlic (Local)","Spices & Dried Goods","kg","180","220","24.20","SUP-006","N","80","20"
